,Titel,Text,Form,Ort,Datum,Lemmata,CodedLemmata_spaCy,Female_coded_words_spaCy,Male_coded_words_spaCy,Number_Female_coded_words_spaCy,Number_Male_coded_words_spaCy
75,"Ingenieur*in als Sachverständige*r Anlagensicherheit zur Ausbildung (ZÜS Druck- und Ex-Anlagen, Notifizierte Stelle, Funktionale Sicherheit)"," Seit 1866 gilt unsere Leidenschaft der Technik und der Sicherheit. Innovationen beeinflussen unser Leben in vielfältiger Weise. Für die Sicherheit von Menschen und der Gesellschaft setzen wir uns jeden Tag aufs Neue ein und schaffen Vertrauen in neue Technologien. Wir sind Teil des Fortschritts. Wir beraten, wir prüfen, wir zertifizieren. Wir handeln aus Überzeugung, gestalten schon heute die Welt von morgen  setzen Zeichen. Wir nehmen die Zukunft in die Hand. Wir sind TÜV SÜD  mehr als 26.000 Mitarbeitende an weltweit über 1.000 Standorten in rund 50 Ländern. Erstellung von Prüfberichten und Stellungnahmen im Rahmen von Konzeptprüfungen, Schadensuntersuchungen und Reparaturen sowie Unterstützung bei Gefahrenanalysen Prüfen von Druckbehälter, Dampfkessel und Druckanlagen nach Betriebssicherheitsverordnung Durchführung von Konformitätsbewertungen an Druckgeräten und Baugruppen nach nationalen und europäischen Richtlinien (Druckgeräterichtlinie) Eigenständige Erstellung von Prüfberichten und Gutachten Mitarbeit im Projektteam bei Großaufträgen Umfassende (Groß-)Kundenbetreuung Prüfungen auf Regelwerkskonformität bei der Planung, Errichtung und dem Betrieb von Druckgeräten und Druckanlagen Prüfung prozessleittechnischer Schutzeinrichtungen Kompetente Betreuung der Kundschaft im Außendienst zur Sicherstellung einer langfristigen Zusammenarbeit Erfolgreich abgeschlossenes Studium der Fachrichtung Maschinenbau, Verfahrenstechnik, Mechatronik, Elektro- /Steuerungstechnik oder vergleichbaren Studiengangs Mehrjährige Berufspraxis im Umgang mit Verordnungen und Regelwerken, sowie mit Druckgeräten in der Herstellung und/oder deren Betrieb Erfahrung im Projektmanagement Sehr gutes prozess- und verfahrenstechnisches Denkvermögen Zusatzqualifikation im Bereich zerstörungsfreier Prüfungen (z. B. PT, MT, UT, VT) sowie Schweißfachingenieur/in vorteilhaft Bereitschaft zur Außendiensttätigkeit Ausgeprägtes Kosten- /Verantwortungsbewusstsein und Zuverlässigkeit Ausgeprägte Kunden- und Dienstleistungsorientierung gepaart mit hoher Kommunikationsfähigkeit und flexibler Lösungsorientierung Flexibilität sowie Kooperations- und Teamfähigkeit, mit hohem Maß an Kommunikations-, Verhandlungs- und Durchsetzungsgeschick Willen, sich stetig weiterzubilden und mit Kreativität und Engagement Veränderungen zu erwirken Systematische und selbständige Arbeitsweise sowie Abstraktionsfähigkeit Sicherer Umgang mit MS Office-Anwendungen Fließende Deutsch- und Englischkenntnisse in Wort und Schrift PKW-Führerschein Die Stelle ist in den Landkreisen Bad Tölz, Dachau, Ebersberg, Erding, Freising, Fürstenfeldbruck, Miesbach, Starnberg und Wolfratshausen zu besetzen.",,Würzburg,Ende März,[],"{'female-coded': ['KREATIV', 'ZUVERLÄSSIG'], 'male-coded': ['SELBSTÄNDIG', 'SELBSTÄNDIG']}","['KREATIV', 'ZUVERLÄSSIG']","['SELBSTÄNDIG', 'SELBSTÄNDIG']",2,2
76,IT Service Manager Software Management (m/w/d)," Als primärer Digitalisierungspartner der Bundeswehr erbringen wir stabile, sichere und effiziente IT-Services im In- und Ausland, vom Grundbetrieb bis in den einsatznahen Bereich und tragen so zur kontinuierlichen Erhöhung der Führungs- und Einsatzfähigkeit der Bundeswehr bei. Mit über 7.000 Kolleg*innen betreiben und modernisieren wir eine der größten und komplexesten IT-Infrastrukturen in Deutschland. Wir suchen verantwortungsvolle IT-Spezialist*innen, die die Bundeswehr-IT aus Überzeugung in herausfordernden Digitalisierungsvorhaben weiterentwickeln und so einen Beitrag zur Sicherheit Deutschlands leisten wollen.  Übernahme der End-2-End-Verantwortung für Softwareprodukte sowie servicespezifische Themen und Aufgaben samt deren Umsetzung Durchführung des operatives Software Lifecycle-Management sowie Steuerung, Koordination und Tracking der bereitzustellenden Software-Releases Verantwortung für die Serviceentwicklung bzw. -weiterentwicklung auf Basis von Kundenanforderungen und CSI-Maßnahmen Zuständigkeit für die Umsetzung der Anforderungen von Projekten, Kunden und Stakeholdern samt Mitarbeit in Projekten Übergreifende Koordination und Tracking von eingehenden Aufträgen sowie fachliche Verantwortung für Vergaben samt Erstellung der relevanten Unterlagen Abgeschlossenes Studium im IT-Bereich oder eine vergleichbare Ausbildung Etwa 5 Jahre Berufserfahrung im IT-Servicemanagement, ITIL-Zertifizierung von Vorteil Sehr gute Kenntnisse in der Softwarebereitstellung auf client-basierten Systemen Eine ganzheitliche Betrachtungsweise sowie ein ausgeprägtes Verständnis von End-2-End-Serviceverantwortung und -Dienstleistung Entscheidungsfreudigkeit, eine lösungs- und kundenorientierte, proaktive Handlungsweise, gute Kommunkiationsfähigkeit sowie ein hohes Maß an Verantwortungsbewusstsein Durch abwechslungsreiche und gesellschaftlich relevante Aufgaben gewährleisten wir die IT-Sicherheit und Zukunftsfähigkeit Deutschlands Sie wirken in innovativen Digitalisierungsprojekten mit und arbeiten eng mit den Herstellern zusammen (z.B. Cisco &amp; Microsoft) Die BWI bietet eine marktgerechte Vergütung, einen sicheren Arbeitsplatz sowie eine prämierte und arbeitgeberfinanzierte betriebliche Altersvorsorge Sie starten grundsätzlich mit 30 Tagen Jahresurlaub mit Option auf individuelle Anpassungen Mobiles Arbeiten ist möglich, alternativ kann alternierende oder heimbasierte Telearbeit mit Ausstattung des Heimarbeitsplatzes beantragt werden",,Würzburg,Ende März,[],"{'female-coded': ['KUNDENORIENTIERT', 'VERANTWORTUNGSVOLL'], 'male-coded': ['ENTSCHEIDUNGSFREUDIG', 'HERAUSFORDERND', 'INDIVIDUELL']}","['KUNDENORIENTIERT', 'VERANTWORTUNGSVOLL']","['ENTSCHEIDUNGSFREUDIG', 'HERAUSFORDERND', 'INDIVIDUELL']",2,3
77,Projekteinkäufer (m/w/d) Automotive," Minebea AccessSolutions (früher U-Shin) ist einer der führenden Hersteller von hochwertigen und innovativen Zugangs- und Kontrollsystemen, die für mehr Sicherheit bei gleichzeitigem Komfort im Fahrzeug sorgen. Wir zählen nahezu alle namhaften Automobilkonzerne zu unseren Kunden und blicken auf eine lange Tradition in der Automobilindustrie zurück. Unser Unternehmen ist Teil der MinebeaMitsumi Group, die mit 100.000 Mitarbeitern an 166 Standorten in 27 Ländern agiert. Projektgebundene Koordination von Lieferanten / Kaufteilen von der Konzeptphase bis zur Serienreife Beschaffen von Prototypen sowie Werkzeugen (inklusive Serie) Vorbereiten und Durchführen von Ausschreibungen Führen von Vertrags- und Preisverhandlungen Lieferantenauswahl und -betreuung inklusive Risikobewertung Regelmäßige Lieferantengespräche und Lieferantenbesuche Reporting an den Leiter Projekteinkauf und die Einkaufskoordination der Produktgruppe Durchführung der Herstellbarkeitsanalyse in Zusammenarbeit mit R&amp;D Erfolgreich abgeschlossenes Bachelor- oder Masterstudium oder alternativ eine Technikerausbildung mit entsprechender Berufserfahrung Mehrjährige Berufserfahrung als Projekteinkäufer, vorzugsweise in der Automobilbranche Vorzugsweise Erfahrung im Einkauf von elektronischen Bauteilen sowie den Warengruppen Kunststoff und Metall Sehr gutes und fundiertes technisches Verständnis Verhandlungsfähigkeit und Durchsetzungsvermögen Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift Betriebliches Gesundheitsmanagement Essenszulagen Flexible Arbeitszeiten Kantine Mitarbeiterevents Mobiles Arbeiten Kostenloser Parkplatz Talent Management Urlaubs- und Weihnachtsgeld JobRad Internationales Unternehmen Gutes Betriebsklima Innovatives und modernes Umfeld Leistungsgerechtes Entgelt Abwechslungsreiche und anspruchsvolle Tätigkeit",,Würzburg,Ende März,[],{},[],[],0,0
78,Red Hat OpenShift Architekt (m/w/d)," Begeistern Sie sich für hochwertige IT-Lösungen und wollen Sie Teil eines Unternehmens werden, das sich mit viel Herzblut um seine Kunden kümmert  und genauso um seine Beschäftigten? Dann bewerben Sie sich bei SVA! Als Red Hat OpenShift Architekt (m/w/d) sind Sie zuständig für die Gestaltung, Implementierung und Optimierung von IT-Infrastrukturen und Kubernetes-Clustern unter Verwendung der Red Hat OpenShift-Plattform und unter Berücksichtigung bewährter DevOps-Praktiken. Abgeschlossene IT-orientierte Ausbildung, z. B. zum Fachinformatiker für Systemintegration (m/w/d), oder ein vergleichbarer Studienabschluss, z. B. im Bereich System Engineering, Informatik oder Wirtschaftsinformatik, aber auch ein Quereinstieg ist mit entsprechenden Fachkenntnissen möglich. Technische Schwerpunkte in einem oder mehreren Themengebieten: Container-Plattformen (z. B. Kubernetes, OpenShift) Software-Architektur und Microservices (z. B. IstIO, Consul) GitOps Tools (z. B. GitLab, ArgoCD, Flux) Security Tools (z .B. RHACM, RHACS, Aqua Security, Sysdig) CI/CD Pipelines (z. B. GitLabCI, GitHub Actions) Container Build Tools (z. B. buildah, podman, skopeo) Configuration Management Tools und deren Konfiguration sowie Anwendung (z.B. Ansible, Terraform) Interesse, sich weiterzuentwickeln und neue Technologien kennenzulernen. Fähigkeit, sich in komplexe Sachverhalte schnell einzuarbeiten sowie die kritischen Aspekte auch im Gesamtkontext (""Big Picture"") zu verstehen und zu bewerten Ausgeprägte Teamorientierung sowie selbstständige, eigenverantwortliche und lösungsorientierte Arbeitsweise. Sehr gute Kommunikationsfähigkeiten in Deutsch (mind. Level C1) und Englisch (mind. Level B1) sowie eine generelle Reisebereitschaft. Arbeitszeiten, die zu Ihrem Leben passen Ein tolles Team und eine wertschätzende Atmosphäre Moderne Arbeitsmittel, Notebook und Smartphone nach Wahl Viele Möglichkeiten, sich weiterzubilden und Ihre Entwicklung zu gestalten Ein inhabergeführtes, unabhängiges Unternehmen mit Bodenhaftung und hoher Servicequalität Selbstständiges Arbeiten und Raum für Eigenverantwortung",,Würzburg,Ende März,[],"{'male-coded': ['LÖSUNGSORIENTIERT', 'UNABHÄNGIG']}",[],"['LÖSUNGSORIENTIERT', 'UNABHÄNGIG']",0,2
79,Teamassistenz - Service Desk Agent m/w/d," Mit unseren Software-Produkten digitalisieren wir Personalplanungs- und Personaleinsatzprozesse in Unternehmen und verbessern so die Vereinbarkeit von Beruf und Familie für Millionen von Arbeitnehmern weltweit. Wir ermöglichen es Unternehmen, ihre Mitarbeiter in diese Prozesse einzubinden und deren Wünsche bei der Arbeitszeitgestaltung besser zu berücksichtigen. Wir helfen so Firmen, kreativer, intelligenter und humaner zu arbeiten und revolutionieren dadurch das Zusammenspiel von Wirtschaftlichkeit und Menschlichkeit. Branchenübergreifend, in mehr als 50 Ländern, cloud-basiert. Und wir sind erfolgreich. Unser Aktienkurs ist über die letzten zehn Jahre um mehr als 1.000% gewachsen. Werde Teil dieser Erfolgsgeschichte! Annahme von Kundenanfragen und Erstellung von Tickets für die Kollegen vom Customer Service Center im CRM System Support des Customer Support Teams in administrativen Belangen des Tagesgeschäfts Enge Unterstützung der Teamleitung Customer Support in München, Cham und Timisoara Erstellung von Präsentationen, Berichten und Reportings Enge Zusammenarbeit mit anderen Assistenzen an unseren Standorten Grundlegende Kenntnisse über telefonische Gesprächsführung (Fragetechniken, Konfliktgespräche) Abgeschlossene kaufmännische Ausbildung oder ein ähnlicher Abschluss Erste Erfahrung in einer vergleichbaren Rolle Sicherer Umgang mit den MS Office Programmen (insb. Excel und Powerpoint) Eine strukturierte und eigenverantwortliche Arbeitsweise mit Blick fürs Detail Ausgeprägtes Organisationstalent und sehr gute Kommunikationsfähigkeiten Sichere Englischkenntnisse Onboarding:",,Würzburg,Ende März,[],{'female-coded': ['KREATIV']},['KREATIV'],[],1,0
80,Supply Chain / Procurement Excellence Specialist (m/w/d)," Die ganze Welt vertraut Giesecke+Devrient, wenn es um digitales, physisches oder elektronisches Bezahlen geht. Entdecken auch Sie Ihre Leidenschaft für die Welt des Bezahlens. Giesecke+Devrient ist ein global tätiges High-Tech-Unternehmen mit Hauptsitz in München. Als vertrauensvoller Partner von Zentralbanken und der gesamten Währungsindustrie steigern wir die Sicherheit sowie Effizienz im Bargeldkreislauf. Unsere 170-jährige Erfahrung verbunden mit neuen, digitalen Lösungen macht uns zum weltweiten Marktführer im Bereich Advanced Currency Management. Als Teil der Unternehmensgruppe G+D bieten wir vielfältige Entwicklungsmöglichkeiten in einem internationalen Familienunternehmen mit mehr als 12.600 Mitarbeitern weltweit. Wir sind davon überzeugt, dass der Schlüssel zum Erfolg in der Vielfalt unserer Mitarbeiter liegt. Daher kommt es auch auf Sie ganz persönlich an  lassen Sie uns die Zukunft des Bezahlens gemeinsam gestalten! Sie übernehmen selbstständig Themen und Projekte in der ""Supply Chain Excellence"" mit dem Schwerpunkt auf ""Tools &amp; Prozessoptimierung"" sowie ""People &amp; Collaboration"" Sie implementieren Prozess-Optimierungen von der Identifikation und der Konzeptionierung über die Umsetzung bis zum Reporten bzw. Nachhalten der Ergebnisse Sie leiten Projekte zur Implementierung spezifischer Tools in der Supply Chain / im Einkauf und nutzen bei Bedarf aktuelle Technologien (z. B. AI, Robotics), um die Automatisierung und Standardisierung voranzutreiben Sie betreuen einkaufsinterne Tool-Lösungen bezüglich User-Support sowie Optimierungen und Erweiterungen (SRM-Plattform, SAP, MS Teams etc.) Sie unterstützen die Supply-Chain- bzw. Einkaufs-Organisation bei der Umsetzung von neuen gesetzlichen Anforderungen (z. B. LkSG) und ESG-Zielen Sie erstellen datengestützte Einblicke und Entscheidungsgrundlagen, um Management Meetings vorzubereiten und Themen voranzubringen Sie sind regelmäßig Teil funktionsübergreifender Teams (z. B. Compliance, Finance, IT), um eine nahtlose Integration der Supply Chain bzw. des Einkaufs in übergreifende Abstimmungen und Geschäftsprozesse zu gewährleisten In dem Schwerpunkt ""People &amp; Collaboration"" ermöglichen Sie, mit zentralen Tools sowie Plattformen eine transparente und effiziente Zusammenarbeit im Supply-Chain-Management bzw. Einkauf Sie fördern eine Kultur der kontinuierlichen Verbesserung und des ""Life-Long-Learning"" innerhalb des Supply-Chain- bzw. Einkaufs-Teams, indem Sie selbstständig Initiativen starten und bei Bedarf Trainings durchführen Sie haben ein abgeschlossenes Studium im Bereich BWL, Wirtschaftsingenieurwesen, Wirtschaftsinformatik oder eine vergleichbare Ausbildung  gerne auch eine Ausbildung mit Zusatzqualifikationen Sie haben bereits mehrjährige Erfahrung in der Supply Chain, dem Einkauf oder einem Supply-Chain- bzw. einkaufsnahen Bereich (Prozessmanagement, IT o. Ä.). Ggf. sind Sie auch Quereinsteiger (m/w/d) und identifizieren sich in einem hohen Maß mit den genannten Inhalten dieser Stellenausschreibung Sie haben eine hohe Affinität zu aktuellen und digitalen Supply-Chain- bzw. Einkaufsthemen sowie Freude an Projektarbeit Sie haben Spaß daran, neue Themen zu starten und umzusetzen, egal, ob strategisch, taktisch, operativ oder administrativ und denken gerne in End-to-End-Prozessen und Strukturen Sie haben ein ausgeprägtes Prozessverständnis und -denken. Dabei berücksichtigen Sie grundsätzlich die Themen Standardisierungen, Optimierung und Automatisierung In neuen Softwarelösungen finden Sie sich schnell zurecht und verstehen deren Struktur sowie Zusammenhänge Sie sind sicher im Umgang mit den gängigen MS-Office-Anwendungen und MS Teams, Kenntnisse in SAP und Ivalua sind von Vorteil Sie können schnell komplexe Zusammenhänge erfassen und diese zielgruppengerecht möglichst einfach darstellen und erklären Analytische Fähigkeiten, eine strukturierte und dynamische Arbeitsweise sowie gute kommunikative Fähigkeiten zeichnen Sie aus Sie sind absoluter Teamplayer (m/w/d), können aber auch Themen alleine voranbringen Sie verfügen über sehr gute Deutsch- und gute Englischkenntnisse in Wort und Schrift Sie können Ihre Arbeitszeit zwischen 6 und 22 Uhr frei wählen, dabei mobil oder vor Ort arbeiten und  nach Wahl  auch mal an einem Samstag statt unter der Woche tätig sein Mit regelmäßigem, gegenseitigem und wertschätzendem Feedback unterstützen wir Sie bei Ihrer individuellen Entwicklung und lernen dabei auch von Ihnen Sie erhalten eine leistungsgerechte Vergütung und eine arbeitgeberfinanzierte betriebliche Altersversorgung Sie profitieren von einer gelebten Work-Life-Balance, attraktiven Familienleistungen und einem vielfältigen betrieblichen Gesundheitsmanagement",,Würzburg,Ende März,[],"{'female-coded': ['KOMMUNIKATIV', 'VERTRAUEN'], 'male-coded': ['ABSOLUT', 'INDIVIDUELL']}","['KOMMUNIKATIV', 'VERTRAUEN']","['ABSOLUT', 'INDIVIDUELL']",2,2
81,Umweltschutzmanager (all genders)," Die MTU Aero Engines entwickelt, fertigt, vertreibt und betreut zivile und militärische Antriebe für Flugzeuge und Hubschrauber sowie Industriegasturbinen. Unser Schlüssel zum Erfolg sind Antriebe für die Luftfahrt von morgen  noch sparsamer, schadstoffärmer und leiser. Mit über 11.000 Mitarbeiter:innen sind wir weltweit präsent und in Deutschland zu Hause. Werden auch Sie Teil unseres engagierten Teams am Standort München als Sicherstellen des vorschriftskonformen Betriebs genehmigungsbedürftiger Anlagen und umweltrelevanter Einrichtungen am Standort München in Zusammenarbeit mit den Fachbereichen Unterstützen bei der Planung und Inbetriebnahme von Anlagen sowie Einrichtungen mit Umweltrelevanz Durchführen des Schriftverkehrs mit den Genehmigungs- und Aufsichtsbehörden Sicherstellen der internen und externen Berichterstattung umweltrelevanter Betriebsdaten und Kennzahlen des Standortbetriebs Analyse rechtlicher Anforderungen mit Umweltrelevanz für den Standort München; Prüfen von Änderungen der rechtlichen Anforderungen und Einleiten von erforderlichen Maßnahmen Durchführen von internen Umweltschutzaudits und Begehungen im Rahmen des integrierten Managementsystems Entwickeln, Planen und Durchführen der Kommunikations- und Informationsmaßnahmen für die Belegschaft am Standort über Themen des Umweltschutzes Wahrnehmung der Aufgabe der / des Betriebsbeauftragten für Abfall und/oder der / des Betriebsbeauftragten für Gewässerschutz Durchführen von Schulungs- und Qualifizierungsmaßnahmen im Fachgebiet Umweltschutz für Belegschaft sowie Führungskräfte Abgeschlossenes Studium der Fachrichtung Umweltmanagement, Umwelttechnik oder eine vergleichbare Qualifikation, z. B. als Techniker:in Berufserfahrung im Bereich Umweltmanagement, idealerweise im Bereich der verarbeitenden Industrie Qualifikation und Erfahrungen als Umwelt-Auditor:in, vorzugsweise EMAS / ISO 14001, bzw. Bereitschaft zur Weiterbildung in diesem Bereich Erfahrungen in der Anwendung von Umweltmanagementsystemen Kenntnis und Erfahrungen bei der Anwendung nationaler Vorschriften aus dem Bereich Immissions-, Gewässer- und Lärmschutz, Abfallrecht, Bodenschutz / Altlasten und weiterer Rechtsgebiet im Umweltschutz Eine abgeschlossene Ausbildung für die Aufgabe als ""Betriebsbeauftragter für Abfall"" und/oder ""Betriebsbeauftragte:r für Gewässerschutz"" ist von Vorteil Spaß an der interdisziplinären bereichsübergreifenden Zusammenarbeit. Erfahrungen im Projektmanagement, der Projektentwicklung und der Steuerung von bereichsübergreifenden Projektteams sind von Vorteil Wir investieren mit einem umfangreichen Weiterbildungsangebot und maßgeschneiderten Entwicklungsprogrammen in die fachliche und persönliche Entwicklung aller Mitarbeiter:innen.",,Würzburg,Ende März,[],{'female-coded': ['ENGAGIERT']},['ENGAGIERT'],[],1,0
82,Assistant Sales Manager / Vertriebsinnendienst (m/w/d)," Als Weltmarkt-Spezialist für Banknotenpapiere und Sicherheits-Features herrschen in unserem Anlagenpark höchste Technologie- sowie Sicherheitsstandards. Unsere Aufgaben in den verschiedenen Bereichen sind vielfältig, komplex, wertvoll und sinnvoll: Wir entwickeln mit Banknoten das Fundament einer jeden Volkswirtschaft. Jeder unserer Mitarbeiter, egal in welchem Fachbereich, trägt seinen ganz persönlichen Teil zu unserem gemeinsamen Erfolg bei. Als Tochterunternehmen von Giesecke+Devrient Currency Technology sind wir stolz auf unser Hightech-Handwerk und stets auf der Suche nach qualifizierten Kollegen (m/w/d), die unser Team aktiv mit ihren Fähigkeiten bereichern. Unterstützung der Projektleiter und Sales Manager bei allen Aufgaben der internationalen Projektabwicklung Internationale Korrespondenzabwicklung mit Kunden sowie Angebots- und Auftragsmanagement Vertragsprüfung und Risikomanagement, Terminverfolgung, Debitorenmanagement sowie Reklamationsbearbeitung Pflege wie auch Erstellung von Statistiken und Reports Organisatorische Aufgaben Erfolgreich abgeschlossene kaufmännische oder Fremdsprachen-Ausbildung bzw. erfolgreich abgeschlossenes Studium Sehr gute Englischkenntnisse in Wort und Schrift sowie idealerweise eine weitere Fremdsprache Versierter Umgang mit MS Office Erfahrung bei der Auftrags- und Projektbearbeitung Interesse an technischen Zusammenhängen Teamgeist und gute kommunikative Fähigkeiten Ausgesprochener kunden- und qualitätsorientierter Arbeitsstil",,Würzburg,Ende März,[],{'female-coded': ['KOMMUNIKATIV']},['KOMMUNIKATIV'],[],1,0
83,Senior Consultant Projektmanagement Anlagenbau/Automotive (m/w/d)," Evolve ist eine junge, dynamisch wachsende Projektmanagement-Beratung mit Fokus auf Projekten zur Produktentwicklung &amp; Industrialisierung in unterschiedlichen Industrien.   Deine Mission als Evolve PM Performer: Welche unvergleichlichen Kräfte und Fähigkeiten bringst Du mit: Willkommen in der Evolve Community der Performance, Weiterentwicklung und Kompetenz",,Würzburg,Ende März,[],{},[],[],0,0
84,Master Data Specialist (m/w/d)," Die DR.SCHNELL GmbH &amp; Co. KGaA ist ein inhabergeführtes Familienunternehmen mit Sitz in München. Wir entwickeln, produzieren und vertreiben professionelle wie auch nachhaltige Reinigungs-, Desinfektions- und Hautschutzprodukte sowie Dosiertechnologie und digitale Dienstleistungen. Europaweit erarbeiten wir Hygienekonzepte für Hotellerie und Gastronomie, das Gesundheitswesen, die professionelle Gebäudereinigung und die Großküchenhygiene. Anlage und Pflege von Kundenstammdaten Abbildung und Pflege der vereinbarten Konditionen im engen Kontakt mit unserem Außendienst Preispflege Rechnungsstellung und Bearbeitung von Rechnungsreklamationen Mitarbeit in Projekten zur ständigen Verbesserung der Prozess- und Datenqualität im Fachbereich Standort: München oder Hamburg Innendiensttätigkeit (unser Büro ist optimal mit den öffentlichen Verkehrsmitteln erreichbar) sicherer Arbeitsplatz mit 30 Tagen Urlaub, Weiterbildungsangeboten und Gesundheitsförderung vielfältige Aufgaben und ein Arbeitsumfeld, in dem Sie etwas bewegen können eigenverantwortliches Arbeiten, familiäres Arbeitsumfeld und ein kollegiales Miteinander Möglichkeit für Mobile Office, Mitarbeiterevents MVV- bzw. HVV-Zuschuss Betriebliche Altersversorgung und Berufsunfähigkeitsversicherung",,Würzburg,Ende März,[],{'female-coded': ['FAMILIÄR']},['FAMILIÄR'],[],1,0
85,Firewalladministrator bei BurdaSolutions (m/w/d)," Die Burda Digital Systems GmbH, ein BurdaSolutions Unternehmen, bietet kundenindividuelle E-Business-Lösungen. Der interne Beratungs- und Technologiedienstleister der Hubert Burda Media Unternehmensgruppe mit Sitz in Offenburg, München und Hamburg betreut die IT-Infrastruktur, das Client-Server-Rechenzentrum sowie die Desktop-Services und entwickelt integrierte IT-Anwendungen.  Als Firewall-Administrator:in übernimmst du die Beratung im Themengebiet Network Security und kümmerst dich eigenständig um die Kundenanforderungen unserer internen Fachbereiche im Firewall-Umfeld Du verantwortest die Weiterentwicklung und den Betrieb unserer bestehenden Enterprise-Firewall-Architektur Des Weiteren bist du für die Planung und Umsetzung von spannenden Projekten verantwortlich, wie z. B. Automation von Firewalls und Erhöhung der Sichtbarkeit von Netzwerkanomalien Mit deiner Expertise unterstützt du aktiv den Third-Level-Support bei Fehleranalysen und bearbeitest Kundentickets eigenständig Wünschenswert, aber nicht obligatorisch ist ein abgeschlossenes Studium der Informatik, Cyber Security, IT-Sicherheit oder Ähnliches Du bringst mindestens zwei Jahre relevante Berufserfahrung mit Du hast bereits im Enterprise-Firewall-Umfeld (Fortinet, Checkpoint oder Palo Alto) sowie im Projektmanagement gearbeitet Zudem bringst du praktische Erfahrung in Netzwerktechnologien mit Fragestellungen der IT-Sicherheit kannst du in pragmatische Lösungen umsetzen, und du überzeugst durch systematisches, konzeptionelles Denken Du verfügst über eine selbstständige Arbeitsweise und hast Spaß an der Arbeit im Team Du besitzt ein ausgeprägtes Interesse daran, Neues zu lernen und zu bewerten Dich erwarten spannende Aufgaben und Projekte innerhalb einer vielfältigen IT-Landschaft, welche zu 100 % von uns inhouse realisiert werden Freu dich auf ein cooles und herzliches Team, offenen Gestaltungsspielraum und die Möglichkeit, eigene Ideen ab dem ersten Tag einzubringen Im sicheren Rahmen eines breit aufgestellten Erfolgsunternehmens ermöglichen wir dir ambitioniertes Unternehmertum, interdisziplinäres Netzwerken und mutige Innovationen Wir bieten vielfältige Benefits, wie z. B. Zuschuss zur betrieblichen Altersvorsorge, Fahrradleasingprogramm, betriebliches Gesundheitsmanagement, Rabatte bei Fitnessstudios, Sabbaticals, Pakadoo-Packstation Profitiere von kostenlosen Zeitschriften sowie Rabatten auf Zeitschriften-Abonnements und bei über 300 Marken in Bereichen wie Technik, Mode, Sport und Kultur Wir ermöglichen dir persönliche wie auch fachliche Weiterentwicklung durch vielfältige interne und externe Fortbildungsmöglichkeiten und Coaching Wir übernehmen Verantwortung, tragen mit unseren Stiftungen zum Wohl unserer Gesellschaft bei und unterstützen dich mit Initiativen wie ""Burda bewegt"" bei deinem Herzensprojekt Du hast 30 Tage Urlaub, flexible Arbeitszeiten und Arbeitsorte (nach Absprache), bis zu 20 Tage Workation im EU-Ausland für deine ideale Work-Life-Balance Wir bieten ein bezuschusstes Betriebsrestaurant sowie eine betriebsnahe Kindertagesstätte für die ideale Vereinbarkeit von Familie und Beruf Unsere Mitarbeiter:innen sind uns wichtig: Wir bieten dir einen unbefristeten Arbeitsvertrag an und fördern interne Wechsel",,Würzburg,Ende März,[],"{'female-coded': ['HERZLICH', 'KIND'], 'male-coded': ['AMBITIONIERT', 'MUTIG', 'PRAGMATISCH']}","['HERZLICH', 'KIND']","['AMBITIONIERT', 'MUTIG', 'PRAGMATISCH']",2,3
